,id_registro,arco,longitud,latitud,carga
8892,8893,2010-3801,-75.58173405215736,6.3306045356905924,4066.0
8893,8894,2010-3801,-75.58165564676025,6.3306116337400375,4066.0
8894,8895,2010-3801,-75.58157724136315,6.330618731789484,4066.0
8895,8896,2010-3801,-75.58134517591303,6.330671646754402,4066.0
8896,8897,2010-3801,-75.58149883596606,6.3306258298389295,4066.0
8897,8898,2010-3801,-75.5814604209528,6.330637284067798,4066.0
8898,8899,2010-3801,-75.58142200593954,6.3306487382966665,4066.0
8899,8900,2010-3801,-75.5813835909263,6.330660192525532,4066.0
8900,8901,2010-3801,-75.5810532218123,6.330610557532885,4066.0
8901,8902,2010-3801,-75.58134517591303,6.330671646754402,4066.0
8902,8903,2010-3801,-75.58127218738785,6.330656374449023,4066.0
8903,8904,2010-3801,-75.58119919886266,6.330641102143643,4066.0
8904,8905,2010-3801,-75.58112621033749,6.3306258298382625,4066.0
8905,8906,2010-3801,-75.58080736572748,6.330457834447478,4066.0
8906,8907,2010-3801,-75.5810532218123,6.330610557532885,4066.0
8907,8908,2010-3801,-75.5809917577911,6.330572376761531,4066.0
8908,8909,2010-3801,-75.58093029376987,6.330534195990182,4066.0
8909,8910,2010-3801,-75.58086882974868,6.330496015218832,4066.0
8910,8911,2010-3801,-75.58051541162676,6.330412017513052,4066.0
8911,8912,2010-3801,-75.58080736572748,6.330457834447478,4066.0
8912,8913,2010-3801,-75.5807343772023,6.330446380213872,4066.0
8913,8914,2010-3801,-75.58066138867713,6.330434925980265,4066.0
8914,8915,2010-3801,-75.58058840015194,6.330423471746659,4066.0
8915,8916,2010-3801,-75.57940905924504,6.330503651377845,4066.0
8916,8917,2010-3801,-75.58051541162676,6.330412017513052,4066.0
8917,8918,2010-3801,-75.58023882353133,6.330434925979251,4066.0
8918,8919,2010-3801,-75.5799622354359,6.330457834445449,4066.0
8919,8920,2010-3801,-75.57968564734048,6.330480742911647,4066.0
8920,8921,2010-3801,-75.57920930117614,6.3306563744497035,4066.0
8921,8922,2010-3801,-75.57940905924504,6.330503651377845,4066.0
8922,8923,2010-3801,-75.57935911972783,6.33054183214581,4066.0
8923,8924,2010-3801,-75.57930918021059,6.3305800129137735,4066.0
8924,8925,2010-3801,-75.57925924069336,6.3306181936817385,4066.0
8925,8926,2010-3801,-75.57904027511783,6.330824369776568,4066.0
8926,8927,2010-3801,-75.57920930117614,6.3306563744497035,4066.0
8927,8928,2010-3801,-75.57916704466156,6.330698373281421,4066.0
8928,8929,2010-3801,-75.57912478814698,6.330740372113137,4066.0
8929,8930,2010-3801,-75.57908253163241,6.330782370944853,4066.0
8930,8931,2010-3801,-75.5788558830542,6.330931275865213,4066.0
8931,8932,2010-3801,-75.57904027511783,6.330824369776568,4066.0
8932,8933,2010-3801,-75.57899417710192,6.330851096298731,4066.0
8933,8934,2010-3801,-75.57894807908602,6.3308778228208915,4066.0
8934,8935,2010-3801,-75.57890198107013,6.3309045493430505,4066.0
8935,8936,2010-3801,-75.5787329550118,6.330977092753582,4066.0
8936,8937,2010-3801,-75.5788558830542,6.330931275865213,4066.0
8937,8938,2010-3801,-75.5788251510436,6.330942730087304,4066.0
8938,8939,2010-3801,-75.578794419033,6.330954184309398,4066.0
8939,8940,2010-3801,-75.57876368702242,6.330965638531492,4066.0
8940,8941,2010-3801,-75.57867149099059,6.331160360266371,4066.0
8941,8942,2010-3801,-75.5787329550118,6.330977092753582,4066.0
8942,8943,2010-3801,-75.5787175890065,6.3310229096317805,4066.0
8943,8944,2010-3801,-75.57870222300119,6.331068726509978,4066.0
8944,8945,2010-3801,-75.57868685699589,6.331114543388174,4066.0
8945,8946,2010-3801,-75.5786100269694,6.331343627714125,4066.0
8946,8947,2010-3801,-75.57867149099059,6.331160360266371,4066.0
8947,8948,2010-3801,-75.5786561249853,6.331206177128309,4066.0
8948,8949,2010-3801,-75.57864075897999,6.331251993990247,4066.0
8949,8950,2010-3801,-75.57862539297469,6.3312978108521865,4066.0
8950,8951,2010-3801,-75.57850246493227,6.331419989131503,4066.0
8951,8952,2010-3801,-75.5786100269694,6.331343627714125,4066.0
8952,8953,2010-3801,-75.57858313646011,6.331362718068468,4066.0
8953,8954,2010-3801,-75.57855624595084,6.3313818084228135,4066.0
8954,8955,2010-3801,-75.57852935544155,6.331400898777157,4066.0
8955,8956,2010-3801,-75.57751904059296,6.331847612860078,4066.0
8956,8957,2010-3801,-75.57850246493227,6.331419989131503,4066.0
8957,8958,2010-3801,-75.57825660884745,6.331526895063647,4066.0
8958,8959,2010-3801,-75.57801075276262,6.331633800995791,4066.0
8959,8960,2010-3801,-75.5777648966778,6.331740706927934,4066.0
8960,8961,2010-3801,-75.57713489046046,6.331923974202902,4066.0
8961,8962,2010-3801,-75.57751904059296,6.331847612860078,4066.0
8962,8963,2010-3801,-75.57742300305985,6.331866703195784,4066.0
8963,8964,2010-3801,-75.57732696552671,6.331885793531492,4066.0
8964,8965,2010-3801,-75.57723092799357,6.331904883867197,4066.0
8965,8966,2010-3801,-75.57668927630671,6.332030880063907,4066.0
8966,8967,2010-3801,-75.57713489046046,6.331923974202902,4066.0
8967,8968,2010-3801,-75.57702348692202,6.331950700668154,4066.0
8968,8969,2010-3801,-75.57691208338358,6.331977427133405,4066.0
8969,8970,2010-3801,-75.57680067984515,6.332004153598657,4066.0
8970,8971,2010-3801,-75.57647415223248,6.33218360268409,4066.0
